GeneID	Symbol	Description	log2FC	Pvalue
127602	DNAH14	dynein axonemal heavy chain 14	1.125	6.222
146754	DNAH2	dynein axonemal heavy chain 2	1.652	4.63
1767	DNAH5	dynein axonemal heavy chain 5	2.328	4.72
79819	DNAI4	dynein axonemal intermediate chain 4	-1.547	3.727
1776	DNASE1L3	deoxyribonuclease 1 like 3	-1.792	3.214
55816	DOK5	docking protein 5	1.244	2.807
1800	DPEP1	dipeptidase 1	2.918	2.95
64180	DPEP3	dipeptidase 3	-1.945	2.979
8110	DPF3	double PHD fingers 3	-1.391	3.42
1825	DSC3	desmocollin 3	4.075	7.858
79075	DSCC1	DNA replication and sister chromatid cohesion 1	1.888	8.155
1828	DSG1	desmoglein 1	1.83	2.493
1830	DSG3	desmoglein 3	3.88	5.699
147409	DSG4	desmoglein 4	1.86	5.69
79980	DSN1	DSN1 component of MIS12 kinetochore complex	1.021	5.054
51514	DTL	denticleless E3 ubiquitin protein ligase homolog	1.275	4.587
101929272	DTNB-AS1	DTNB antisense RNA 1	-1.346	4.839
405753	DUOXA2	dual oxidase maturation factor 2	2.034	2.115
11072	DUSP14	dual specificity phosphatase 14	1.61	6.752
128853	DUSP15	dual specificity phosphatase 15	1.44	2.474
78986	DUSP26	dual specificity phosphatase 26	-1.522	2.41
1846	DUSP4	dual specificity phosphatase 4	2.04	5.909
503639	DUXAP10	double homeobox A pseudogene 10	3.992	8.134
503637	DUXAP8	double homeobox A pseudogene 8	3.965	7.774
503638	DUXAP9	double homeobox A pseudogene 9	3.903	8.127
1869	E2F1	E2F transcription factor 1	1.401	6.104
1875	E2F5	E2F transcription factor 5	1.106	4.71
144455	E2F7	E2F transcription factor 7	1.706	6.752
64641	EBF2	EBF transcription factor 2	1.864	2.612
9427	ECEL1	endothelin converting enzyme like 1	3.336	5.168
1894	ECT2	epithelial cell transforming 2	1.529	6.558
10085	EDIL3	EGF like repeats and discoidin domains 3	-1.153	2.619
105379057	EDIL3-DT	EDIL3 divergent transcript	-1.14	2.418
1907	EDN2	endothelin 2	-1.598	2.28
1908	EDN3	endothelin 3	-1.678	2.143
1909	EDNRA	endothelin receptor type A	2.015	7.144
1944	EFNA3	ephrin A3	1.423	2.849
25975	EGFL6	EGF like domain multiple 6	3.758	10.057
112399	EGLN3	egl-9 family hypoxia inducible factor 3	-1.015	2.085
8662	EIF3B	eukaryotic translation initiation factor 3 subunit B	1.056	6.899
317649	EIF4E3	eukaryotic translation initiation factor 4E family member 3	-1.101	4.215
56648	EIF5A2	eukaryotic translation initiation factor 5A2	1.316	6.332
1996	ELAVL4	ELAV like RNA binding protein 4	-1.325	2.111
392617	ELFN1	extracellular leucine rich repeat and fibronectin type III domain containing 1	1.85	5.689
101927125	ELFN1-AS1	ELFN1 antisense RNA 1	3.417	7.142
60481	ELOVL5	ELOVL fatty acid elongase 5	1.22	4.371
101927746	EMSLR	E2F1 mRNA stabilizing lncRNA	2.779	8.081
2016	EMX1	empty spiracles homeobox 1	-1.725	2.147
8507	ENC1	ectodermal-neural cortex 1	1.231	6.45
23052	ENDOD1	endonuclease domain containing 1	-1.111	4.178
375704	ENHO	energy homeostasis associated	-1.716	2.804
55068	ENOX1	ecto-NOX disulfide-thiol exchanger 1	1.104	2.589
133121	ENPP6	ectonucleotide pyrophosphatase/phosphodiesterase 6	-1.943	2.951
957	ENTPD5	ectonucleoside triphosphate diphosphohydrolase 5 (inactive)	-1.252	2.978
23136	EPB41L3	erythrocyte membrane protein band 4.1 like 3	-1.324	3.534
54749	EPDR1	ependymin related 1	1.095	3.68
2047	EPHB1	EPH receptor B1	2.016	2.876
2050	EPHB4	EPH receptor B4	1.005	7.349
2053	EPHX2	epoxide hydrolase 2	-1.147	3.257
253152	EPHX4	epoxide hydrolase 4	3.719	13.049
101927953	EPIST	esophagus epithelial intergenic associated transcript	-1.352	2.55
100170841	EPOP	elongin BC and polycomb repressive complex 2 associated protein	2.857	11.849
105378720	EPS15-AS1	EPS15 antisense RNA 1	-1.058	3.118
54821	ERCC6L	ERCC excision repair 6 like, spindle assembly checkpoint helicase	1.527	4.782
2069	EREG	epiregulin	2.204	5.068
151176	ERFE	erythroferrone	2.487	7.93
285141	ERICH2	glutamate rich 2	1.601	2.705
2086	ERV3-1	endogenous retrovirus group 3 member 1, envelope	1.038	2.558
100288413	ERVMER34-1	endogenous retrovirus group MER34 member 1, envelope	1.53	2.434
101929340	ESAM-AS1	ESAM antisense RNA 1	-1.197	2.741
11082	ESM1	endothelial cell specific molecule 1	4.238	11.406
2100	ESR2	estrogen receptor 2	-1.375	5.648
23474	ETHE1	ETHE1 persulfide dioxygenase	-1.285	4.266
2118	ETV4	ETS variant transcription factor 4	4.182	21.619
84141	EVA1A	eva-1 homolog A, regulator of programmed cell death	2.395	7.178
2124	EVI2B	ecotropic viral integration site 2B	-1.146	3.633
2125	EVPL	envoplakin	1.1	3.051
9156	EXO1	exonuclease 1	1.572	5.53
2149	F2R	coagulation factor II thrombin receptor	1.189	5.75
2151	F2RL2	coagulation factor II thrombin receptor like 2	2.086	6.101
2153	F5	coagulation factor V	2.19	3.601
2155	F7	coagulation factor VII	2.424	3.752
2168	FABP1	fatty acid binding protein 1	-1.589	3.221
2167	FABP4	fatty acid binding protein 4	-1.279	2.056
2172	FABP6	fatty acid binding protein 6	3.082	3.614
3992	FADS1	fatty acid desaturase 1	1.466	3.833
9415	FADS2	fatty acid desaturase 2	1.357	2.918
283985	FADS6	fatty acid desaturase 6	-1.685	2.598
374393	FAM111B	FAM111 trypsin like peptidase B	1.249	4.387
51059	FAM135B	family with sequence similarity 135 member B	-2.538	4.215
339778	FAM166C	family with sequence similarity 166 member C	2.017	3.891
84734	FAM167B	family with sequence similarity 167 member B	1.099	3.561
84983	FAM222A-AS1	FAM222A antisense RNA 1	3.069	7.49
646851	FAM227A	family with sequence similarity 227 member A	1.367	5.383
101930105	FAM239A	zinc finger protein 839 pseudogene	1.011	2.027
9834	FAM30A	family with sequence similarity 30 member A	-1.871	4.215
729533	FAM72A	family with sequence similarity 72 member A	1.142	3.904
554282	FAM72C	family with sequence similarity 72 member C	1.129	3.201
728833	FAM72D	family with sequence similarity 72 member D	1.287	4.038
105371586	FAM78B-AS1	FAM78B antisense RNA 1	-1.028	2.426
84985	FAM83A	family with sequence similarity 83 member A	1.914	2.045
81610	FAM83D	family with sequence similarity 83 member D	1.231	2.464
100128338	FAM83H-AS1	replaced by ID 642574	2.19	8.814
375061	FAM89A	family with sequence similarity 89 member A	1.389	7.845
2187	FANCB	FA complementation group B	1.365	5.214
2191	FAP	fibroblast activation protein alpha	3.928	17.875
356	FASLG	Fas ligand	-1.119	2.498
150726	FBXO41	F-box protein 41	1.123	4.152
2204	FCAR	Fc alpha receptor	3.27	5.163
2208	FCER2	Fc epsilon receptor II	-1.609	2.628
2209	FCGR1A	Fc gamma receptor Ia	1.679	5.909
2210	FCGR1BP	Fc gamma receptor Ib, pseudogene	1.555	4.239
100132417	FCGR1CP	Fc gamma receptor Ic, pseudogene	1.776	4.861
2214	FCGR3A	Fc gamma receptor IIIa	2.049	8.279
2215	FCGR3B	Fc gamma receptor IIIb	1.998	4.799
9214	FCMR	Fc mu receptor	-1.177	3.268
115350	FCRL1	Fc receptor like 1	-1.757	3.169
79368	FCRL2	Fc receptor like 2	-1.772	3.384
115352	FCRL3	Fc receptor like 3	-1.545	2.654
83417	FCRL4	Fc receptor like 4	-2.622	4.669
83416	FCRL5	Fc receptor like 5	-1.322	2.083
84824	FCRLA	Fc receptor like A	-1.829	4.138
55612	FERMT1	FERM domain containing kindlin 1	1.128	2.784
10979	FERMT2	FERM domain containing kindlin 2	1.03	2.168
2259	FGF14	fibroblast growth factor 14	1.119	2.445
8817	FGF18	fibroblast growth factor 18	2.023	4.165
83888	FGFBP2	fibroblast growth factor binding protein 2	-1.837	2.531
53834	FGFRL1	fibroblast growth factor receptor like 1	1.127	3.529
10875	FGL2	fibrinogen like 2	-1.222	3.492
387758	FIBIN	fin bud initiation factor homolog	2.059	9.623
63979	FIGNL1	fidgetin like 1	1.111	5.427
11259	FILIP1L	filamin A interacting protein 1 like	1.089	2.608
24147	FJX1	four-jointed box kinase 1	2.426	8.84
60681	FKBP10	FKBP prolyl isomerase 10	1.889	7.667
100528031	FKBP1A-SDCBP2	FKBP1A-SDCBP2 readthrough (NMD candidate)	-1.101	4.472
2316	FLNA	filamin A	1.192	2.49
2322	FLT3	fms related receptor tyrosine kinase 3	-1.216	2.108
55640	FLVCR2	FLVCR heme transporter 2	-1.139	3.833
102724153	FLVCR2-AS1	FLVCR2 antisense RNA 1	-1.563	4.129
2335	FN1	fibronectin 1	1.398	2.989
84624	FNDC1	fibronectin type III domain containing 1	1.783	2.709
79025	FNDC11	fibronectin type III domain containing 11	1.692	3.379
2346	FOLH1	folate hydrolase 1	1.426	2.641
8061	FOSL1	FOS like 1, AP-1 transcription factor subunit	3.053	6.258
2305	FOXM1	forkhead box M1	1.093	3.452
101060264	FOXP4-AS1	FOXP4 antisense RNA 1	1.575	4.934
94234	FOXQ1	forkhead box Q1	4.556	12.562
2307	FOXS1	forkhead box S1	1.486	3.877
2357	FPR1	formyl peptide receptor 1	1.962	6.005
2358	FPR2	formyl peptide receptor 2	2.907	5.709
341640	FREM2	FRAS1 related extracellular matrix 2	1.977	3.017
79981	FRMD1	FERM domain containing 1	-1.402	2.54
391059	FRRS1	ferric chelate reductase 1	-1.057	3.763
100861412	FSBP	fibrinogen silencer binding protein	1.073	4.125
6624	FSCN1	fascin actin-bundling protein 1	1.618	4.961
401024	FSIP2	fibrous sheath interacting protein 2	-1.772	2.434
10272	FSTL3	follistatin like 3	1.45	3.592
2517	FUCA1	alpha-L-fucosidase 1	-1.256	6.453
2523	FUT1	fucosyltransferase 1 (H blood group)	2.101	8.612
53827	FXYD5	FXYD domain containing ion transport regulator 5	1.266	3.667
11211	FZD10	frizzled class receptor 10	1.826	2.015
50486	G0S2	G0/G1 switch 2	1.275	3.14
2538	G6PC1	glucose-6-phosphatase catalytic subunit 1	-2.859	3.829
2563	GABRD	gamma-aminobutyric acid type A receptor subunit delta	2.035	4.291
2568	GABRP	gamma-aminobutyric acid type A receptor subunit pi	1.782	2.857
2571	GAD1	glutamate decarboxylase 1	3.627	4.425
79623	GALNT14	polypeptide N-acetylgalactosaminyltransferase 14	1.745	2.75
57452	GALNT16	polypeptide N-acetylgalactosaminyltransferase 16	-1.358	2.494
11226	GALNT6	polypeptide N-acetylgalactosaminyltransferase 6	1.165	3.325
100505592	GAPLINC	gastric adenocarcinoma associated, positive CD44 regulator, long intergenic non-coding RNA	1.181	2.354
2617	GARS1	glycyl-tRNA synthetase 1	1.056	7.411
2620	GAS2	growth arrest specific 2	2.14	5.802
101927167	GATA2-AS1	GATA2 antisense RNA 1	1.391	2.578
2626	GATA4	GATA binding protein 4	4.378	4.17
57733	GBA3	glucosylceramidase beta 3 (gene/pseudogene)	-2.371	2.844
2651	GCNT2	glucosaminyl (N-acetyl) transferase 2 (I blood group)	-1.964	4.33
51301	GCNT4	glucosaminyl (N-acetyl) transferase 4	-1.32	2.166
148823	GCSAML	germinal center associated signaling and motility like	-1.092	2.039
9518	GDF15	growth differentiation factor 15	1.982	6.659
54857	GDPD2	glycerophosphodiester phosphodiesterase domain containing 2	-1.864	3.54
79153	GDPD3	glycerophosphodiester phosphodiesterase domain containing 3	-1.146	2.891
81544	GDPD5	glycerophosphodiester phosphodiesterase domain containing 5	2.031	7.115
2669	GEM	GTP binding protein overexpressed in skeletal muscle	1.154	2.347
8328	GFI1B	growth factor independent 1B transcriptional repressor	-1.992	3.806
2675	GFRA2	GDNF family receptor alpha 2	-1.384	2.368
79017	GGCT	gamma-glutamylcyclotransferase	1.179	6.102
645367	GGT8P	gamma-glutamyltransferase 8 pseudogene	-2.269	4.854
9837	GINS1	GINS complex subunit 1	1.705	5.945
51659	GINS2	GINS complex subunit 2	1.032	3.325
84296	GINS4	GINS complex subunit 4	1.254	5.136
2701	GJA4	gap junction protein alpha 4	1.136	3.312
127534	GJB4	gap junction protein beta 4	2.584	4.93
2709	GJB5	gap junction protein beta 5	2.695	2.678
10052	GJC1	gap junction protein gamma 1	1.777	5.823
342035	GLDN	gliomedin	-2.117	2.629
9340	GLP2R	glucagon like peptide 2 receptor	-1.903	5.222
441509	GLRA4	glycine receptor alpha 4 (pseudogene)	-1.405	2.049
2743	GLRB	glycine receptor beta	1.854	4.214
27165	GLS2	glutaminase 2	1.117	2.417
51228	GLTP	glycolipid transfer protein	-1.031	5.995
92292	GLYATL1	glycine-N-acyltransferase like 1	2.643	4.869
2786	GNG4	G protein subunit gamma 4	1.916	3.163
2788	GNG7	G protein subunit gamma 7	-1.764	5.168
401647	GOLGA7B	golgin A7 family member B	1.429	2.719
127845	GOLT1A	golgi transport 1A	1.055	2.081
10223	GPA33	glycoprotein A33	-1.289	2.638
84803	GPAT3	glycerol-3-phosphate acyltransferase 3	-1.505	3.157
2852	GPER1	G protein-coupled estrogen receptor 1	-1.335	2.327
338328	GPIHBP1	glycosylphosphatidylinositol anchored high density lipoprotein binding protein 1	-1.091	2.869
4935	GPR143	G protein-coupled receptor 143	1.87	2.412
2838	GPR15	G protein-coupled receptor 15	-2.251	3.125
57512	GPR158	G protein-coupled receptor 158	-1.335	2.588
84636	GPR174	G protein-coupled receptor 174	-1.255	3.024
2841	GPR18	G protein-coupled receptor 18	-1.291	4.103
2827	GPR3	G protein-coupled receptor 3	2.138	4.248
2828	GPR4	G protein-coupled receptor 4	1.564	4.987
53831	GPR84	G protein-coupled receptor 84	2.049	3.734
84706	GPT2	glutamic--pyruvic transaminase 2	1.17	3.096
493869	GPX8	glutathione peroxidase 8 (putative)	1.366	5.566
65983	GRAMD2B	GRAM domain containing 2B	-1.059	5.774
80000	GREB1L	GREB1 like retinoic acid receptor coactivator	2.929	4.447
64388	GREM2	gremlin 2, DAN family BMP antagonist	-1.912	2.634
29841	GRHL1	grainyhead like transcription factor 1	1.692	5.936
57822	GRHL3	grainyhead like transcription factor 3	2.385	5.475
2892	GRIA3	glutamate ionotropic receptor AMPA type subunit 3	-1.236	2.135
2903	GRIN2A	glutamate ionotropic receptor NMDA type subunit 2A	-1.801	3.507
2904	GRIN2B	glutamate ionotropic receptor NMDA type subunit 2B	2.104	5.995
2906	GRIN2D	glutamate ionotropic receptor NMDA type subunit 2D	3.338	9.837
116443	GRIN3A	glutamate ionotropic receptor NMDA type subunit 3A	-1.533	5.552
2907	GRINA	glutamate ionotropic receptor NMDA type subunit associated protein 1	1.106	6.942
80852	GRIP2	glutamate receptor interacting protein 2	1.778	7.452
2918	GRM8	glutamate metabotropic receptor 8	1.891	2.553
2925	GRPR	gastrin releasing peptide receptor	2.516	2.619
284110	GSDMA	gasdermin A	1.074	2.012
2946	GSTM2	glutathione S-transferase mu 2	-1.232	2.836
2949	GSTM5	glutathione S-transferase mu 5	-1.544	2.735
2963	GTF2F2	general transcription factor IIF subunit 2	1.082	6.259
9569	GTF2IRD1	GTF2I repeat domain containing 1	1.717	8.562
2971	GTF3A	general transcription factor IIIA	1.636	5.31
2980	GUCA2A	guanylate cyclase activator 2A	-2.11	2.516
2981	GUCA2B	guanylate cyclase activator 2B	-2.697	3.11
387751	GVINP1	GTPase, very large interferon inducible pseudogene 1	-1.034	2.356
3002	GZMB	granzyme B	1.564	2.819
3004	GZMM	granzyme M	-1.302	3.693
3006	H1-2	H1.2 linker histone, cluster member	-1.1	3.846
283120	H19	H19 imprinted maternally expressed transcript	3.671	6.956
8330	H2AC15	H2A clustered histone 15	1.444	2.479
92815	H2AC25	H2A clustered histone 25	1.089	3.523
8341	H2BC15	H2B clustered histone 15	1.396	3.216
440689	H2BC18	H2B clustered histone 18	1.312	3.955
9200	HACD1	3-hydroxyacyl-CoA dehydratase 1	1.49	3.602
84264	HAGHL	hydroxyacylglutathione hydrolase like	1.75	6.31
145864	HAPLN3	hyaluronan and proteoglycan link protein 3	1.561	4.829
3039	HBA1	hemoglobin subunit alpha 1	-1.896	3.649
3040	HBA2	hemoglobin subunit alpha 2	-1.904	3.713
3043	HBB	hemoglobin subunit beta	-1.651	2.614
27198	HCAR1	hydroxycarboxylic acid receptor 1	1.891	2.64
338442	HCAR2	hydroxycarboxylic acid receptor 2	2.355	3.999
8843	HCAR3	hydroxycarboxylic acid receptor 3	2.687	4.414
9734	HDAC9	histone deacetylase 9	-1.004	2.355
23072	HECW1	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1	1.113	2.543
57520	HECW2	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2	1.685	8.842
3070	HELLS	helicase, lymphoid specific	1.252	5.13
341208	HEPHL1	hephaestin like 1	2.007	2.754
388585	HES5	hes family bHLH transcription factor 5	-1.665	3.099
26508	HEYL	hes related family bHLH transcription factor with YRPW motif like	1.25	4.058
3082	HGF	hepatocyte growth factor	1.125	2.465
646576	HHIP-AS1	HHIP antisense RNA 1	-1.084	2.63
11148	HHLA2	HERV-H LTR-associating 2	-1.777	3.047
25994	HIGD1A	HIG1 hypoxia inducible domain family member 1A	-1.153	6.061
29923	HILPDA	hypoxia inducible lipid droplet associated	2.114	9.968
102724660	HILPDA-AS1	HILPDA antisense RNA 1	1.557	5.006
283587	HISLA	HIF1A stabilizing long noncoding RNA	2.716	2.772
55355	HJURP	Holliday junction recognition protein	1.374	4.714
80201	HKDC1	hexokinase domain containing 1	1.036	2.381
3159	HMGA1	high mobility group AT-hook 1	1.309	5.41
54511	HMGCLL1	3-hydroxymethyl-3-methylglutaryl-CoA lyase like 1	-1.509	2.913
3158	HMGCS2	3-hydroxy-3-methylglutaryl-CoA synthase 2	-1.427	2.965
3161	HMMR	hyaluronan mediated motility receptor	1.151	3.123
101927813	HMMR-AS1	HMMR antisense RNA 1	1.239	3.398
112817	HOGA1	4-hydroxy-2-oxoglutarate aldolase 1	2.057	2.959
9456	HOMER1	homer scaffold protein 1	1.958	8.181
103344718	HOTS		3.69	6.943
3218	HOXB8	homeobox B8	1.919	4.055
101929357	HP09053	uncharacterized LOC101929357	1.245	6.54
3248	HPGD	15-hydroxyprostaglandin dehydrogenase	-1.843	3.866
27306	HPGDS	hematopoietic prostaglandin D synthase	-1.347	2.658
3249	HPN	hepsin	1.744	2.003
60495	HPSE2	heparanase 2 (inactive)	-1.673	2.542
646962	HRCT1	histidine rich carboxyl terminus 1	-1.467	2.612
78995	HROB	homologous recombination factor with OB-fold	1.167	4.753
90161	HS6ST2	heparan sulfate 6-O-sulfotransferase 2	2.574	3.708
3291	HSD11B2	hydroxysteroid 11-beta dehydrogenase 2	-1.313	2.403
3294	HSD17B2	hydroxysteroid 17-beta dehydrogenase 2	-1.759	2.754
3284	HSD3B2	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 2	-3.954	6.662
3326	HSP90AB1	heat shock protein 90 alpha family class B member 1	1.258	6.788
3329	HSPD1	heat shock protein family D (Hsp60) member 1	1.142	6.119
10808	HSPH1	heat shock protein family H (Hsp110) member 1	1.443	5.962
3352	HTR1D	5-hydroxytryptamine receptor 1D	3.709	7.858
3359	HTR3A	5-hydroxytryptamine receptor 3A	-1.76	2.608
3363	HTR7	5-hydroxytryptamine receptor 7	-1.475	3.971
94031	HTRA3	HtrA serine peptidase 3	1.702	4.174
3376	IARS1	isoleucyl-tRNA synthetase 1	1.079	8.067
3381	IBSP	integrin binding sialoprotein	5.502	7.663
100505938	ICA1-AS1	ICA1 antisense RNA 1	1.547	3.494
100506299	ID2-AS1	ID2 antisense RNA 1	-1.048	3.523
8870	IER3	immediate early response 3	1.334	3.853
105379695	IER3-AS1	IER3 antisense RNA 1	1.373	4.116
389792	IER5L	immediate early response 5 like	1.124	3.719
2537	IFI6	interferon alpha inducible protein 6	1.324	2.78
8519	IFITM1	interferon induced transmembrane protein 1	1.513	5.694
10410	IFITM3	interferon induced transmembrane protein 3	1.529	6.741
10643	IGF2BP3	insulin like growth factor 2 mRNA binding protein 3	4.244	7.302
3488	IGFBP5	insulin like growth factor binding protein 5	1.096	2.262
3490	IGFBP7	insulin like growth factor binding protein 7	1.161	3.829
255130	IGFBP7-AS1	IGFBP7 antisense RNA 1	1.157	3.134
147920	IGFL2	IGF like family member 2	2.031	3.146
444882	IGFL4	IGF like family member 4	3.308	4.753
3493	IGHA1	immunoglobulin heavy constant alpha 1	-1.81	3.23
3494	IGHA2	immunoglobulin heavy constant alpha 2 (A2m marker)	-2.24	3.547
3500	IGHG1	immunoglobulin heavy constant gamma 1 (G1m marker)	1.684	2.254
28483	IGHJ1	immunoglobulin heavy joining 1	-1.585	2.058
28479	IGHJ3	immunoglobulin heavy joining 3	-1.643	2.46
28478	IGHJ3P	immunoglobulin heavy joining 3P (pseudogene)	-1.872	2.951
28477	IGHJ4	immunoglobulin heavy joining 4	-1.548	2.587
28476	IGHJ5	immunoglobulin heavy joining 5	-1.525	2.454
28475	IGHJ6	immunoglobulin heavy joining 6	-1.675	2.206
28471	IGHV1-12	immunoglobulin heavy variable 1-12 (pseudogene)	-2.567	2.023
28468	IGHV1-18	immunoglobulin heavy variable 1-18	-1.421	2.1
388077	IGHV1OR15-1	immunoglobulin heavy variable 1/OR15-1 (non-functional)	-1.778	3.77
28449	IGHV3-13	immunoglobulin heavy variable 3-13	-1.71	2.116
28447	IGHV3-16	immunoglobulin heavy variable 3-16 (non-functional)	-2.156	2.308
28428	IGHV3-41	immunoglobulin heavy variable 3-41 (pseudogene)	-1.85	2.365
28423	IGHV3-49	immunoglobulin heavy variable 3-49	-1.648	2.67
28414	IGHV3-64	immunoglobulin heavy variable 3-64	-1.581	2.175
28412	IGHV3-66	immunoglobulin heavy variable 3-66	-1.502	2.063
28452	IGHV3-7	immunoglobulin heavy variable 3-7	-1.606	3.055
28408	IGHV3-74	immunoglobulin heavy variable 3-74	-1.536	2.032
28392	IGHV4-59	immunoglobulin heavy variable 4-59	-1.578	2.53
28380	IGHV7-56	immunoglobulin heavy variable 7-56 (pseudogene)	-1.85	2.325
3514	IGKC	immunoglobulin kappa constant	-1.524	2.535
28950	IGKJ1	immunoglobulin kappa joining 1	-1.552	2.712
28949	IGKJ2	immunoglobulin kappa joining 2	-1.585	2.537
28948	IGKJ3	immunoglobulin kappa joining 3	-1.763	3.033
28947	IGKJ4	immunoglobulin kappa joining 4	-1.435	2.209
28946	IGKJ5	immunoglobulin kappa joining 5	-1.552	2.382
28940	IGKV1-12	immunoglobulin kappa variable 1-12	-1.801	3.138
28935	IGKV1-27	immunoglobulin kappa variable 1-27	-1.417	2.13
28933	IGKV1-33	immunoglobulin kappa variable 1-33	-1.517	2.179
28943	IGKV1-6	immunoglobulin kappa variable 1-6	-1.5	2.106
28941	IGKV1-9	immunoglobulin kappa variable 1-9	-1.642	2.387
28903	IGKV1D-12	immunoglobulin kappa variable 1D-12	-1.891	3.336
28900	IGKV1D-17	immunoglobulin kappa variable 1D-17	-1.701	2.179
28891	IGKV1D-43	immunoglobulin kappa variable 1D-43	-2.177	2.938
28926	IGKV2-18	immunoglobulin kappa variable 2-18 (pseudogene)	-2.46	2.209
28923	IGKV2-24	immunoglobulin kappa variable 2-24	-1.568	2.423
28921	IGKV2-28	immunoglobulin kappa variable 2-28	-1.58	2.179
28919	IGKV2-30	immunoglobulin kappa variable 2-30	-1.435	2.009
28916	IGKV2-40	immunoglobulin kappa variable 2-40	-1.975	3.158
28888	IGKV2D-18	immunoglobulin kappa variable 2D-18 (pseudogene)	-2.21	2.166
28885	IGKV2D-24	immunoglobulin kappa variable 2D-24 (non-functional)	-1.427	2.122
28883	IGKV2D-28	immunoglobulin kappa variable 2D-28	-1.603	2.2
28881	IGKV2D-30	immunoglobulin kappa variable 2D-30	-1.485	2.055
28878	IGKV2D-40	immunoglobulin kappa variable 2D-40	-1.59	2.081
28914	IGKV3-11	immunoglobulin kappa variable 3-11	-1.645	2.949
28913	IGKV3-15	immunoglobulin kappa variable 3-15	-1.403	2.241
28876	IGKV3D-11	immunoglobulin kappa variable 3D-11	-1.457	2.214
28875	IGKV3D-15	immunoglobulin kappa variable 3D-15	-1.482	2.311
28874	IGKV3D-20	immunoglobulin kappa variable 3D-20	-1.463	2.05
28877	IGKV3D-7	immunoglobulin kappa variable 3D-7	-1.7	2.626
28907	IGKV5-2	immunoglobulin kappa variable 5-2	-1.894	2.698
3537	IGLC1	immunoglobulin lambda constant 1	-1.43	2.189
3538	IGLC2	immunoglobulin lambda constant 2	-1.602	2.641
3539	IGLC3	immunoglobulin lambda constant 3 (Kern-Oz+ marker)	-1.603	2.897
3541	IGLC5	immunoglobulin lambda constant 5 (pseudogene)	-1.628	2.061
3542	IGLC6	immunoglobulin lambda constant 6	-1.763	2.398
28834	IGLC7	immunoglobulin lambda constant 7	-1.654	2.348
28832	IGLJ2	immunoglobulin lambda joining 2	-1.496	2.392
28831	IGLJ3	immunoglobulin lambda joining 3	-1.666	2.67
100423062	IGLL5	immunoglobulin lambda like polypeptide 5	-1.448	2.245
28825	IGLV1-40	immunoglobulin lambda variable 1-40	-1.586	2.4
28824	IGLV1-41	immunoglobulin lambda variable 1-41 (pseudogene)	-1.569	2.139
28821	IGLV1-50	immunoglobulin lambda variable 1-50 (non-functional)	-1.564	2.279
28820	IGLV1-51	immunoglobulin lambda variable 1-51	-1.395	2.214
28816	IGLV2-11	immunoglobulin lambda variable 2-11	-1.77	3.416
28815	IGLV2-14	immunoglobulin lambda variable 2-14	-1.592	2.278
28814	IGLV2-18	immunoglobulin lambda variable 2-18	-1.9	2.023
28813	IGLV2-23	immunoglobulin lambda variable 2-23	-1.57	2.821
28811	IGLV2-33	immunoglobulin lambda variable 2-33 (non-functional)	-2.61	2.848
28818	IGLV2-5	immunoglobulin lambda variable 2-5 (pseudogene)	-1.688	2.221
28817	IGLV2-8	immunoglobulin lambda variable 2-8	-1.821	3.331
28809	IGLV3-1	immunoglobulin lambda variable 3-1	-1.585	2.566
28803	IGLV3-10	immunoglobulin lambda variable 3-10	-1.875	2.806
28791	IGLV3-27	immunoglobulin lambda variable 3-27	-1.836	2.098
28786	IGLV4-3	immunoglobulin lambda variable 4-3	-4.171	6.174
28785	IGLV4-60	immunoglobulin lambda variable 4-60	-1.92	2.372
28784	IGLV4-69	immunoglobulin lambda variable 4-69	-1.382	2.278
28783	IGLV5-37	immunoglobulin lambda variable 5-37	-2.133	2.28
28778	IGLV6-57	immunoglobulin lambda variable 6-57	-1.598	2.076
28776	IGLV7-43	immunoglobulin lambda variable 7-43	-1.852	2.954
28775	IGLV7-46	immunoglobulin lambda variable 7-46	-1.707	2.321
28774	IGLV8-61	immunoglobulin lambda variable 8-61	-2.444	2.321
28763	IGLVI-70	immunoglobulin lambda variable (I)-70 (pseudogene)	-1.906	3.155
147710	IGSF23	immunoglobulin superfamily member 23	1.896	3.072
57549	IGSF9	immunoglobulin superfamily member 9	-1.037	2.554
22806	IKZF3	IKAROS family zinc finger 3	-1.165	3.183
3589	IL11	interleukin 11	4.093	9.837
3603	IL16	interleukin 16	-1.172	5.989
3552	IL1A	interleukin 1 alpha	3.478	7.244
3553	IL1B	interleukin 1 beta	2.455	6.31
7850	IL1R2	interleukin 1 receptor type 2	-1.733	2.858
3557	IL1RN	interleukin 1 receptor antagonist	2.306	4.557
51561	IL23A	interleukin 23 subunit alpha	2.059	4.165
3569	IL6	interleukin 6	3.07	6.162
541472	IL6-AS1	IL6 antisense RNA 1	3.146	5.989
3570	IL6R	interleukin 6 receptor	-1.426	3.522
387597	ILDR2	immunoglobulin like domain containing receptor 2	1.682	5.356
3614	IMPDH1	inosine monophosphate dehydrogenase 1	1.148	5.244
3624	INHBA	inhibin subunit beta A	4.918	22.009
3625	INHBB	inhibin subunit beta B	1.815	3.86
