GeneID	Symbol	Description	log2(fold change)(cancer primaire vs controle)	-log10(Pvalue)(cancer primaire vs controle)	log2(fold change)(controle vs metastase)	-log10(Pvalue)(controle vs metastase)
107986127	LOC107986127	uncharacterized LOC107986127	-1.489	3.131	2.022	5.984
100507210	LINC02000	long intergenic non-protein coding RNA 2000	-2.093	2.372	3.937	7.217
2047	EPHB1	EPH receptor B1	2.016	2.876	-1.572	2.056
4071	TM4SF1	transmembrane 4 L six family member 1	1.221	4.036	-1.584	7.241
100874091	TM4SF1-AS1	TM4SF1 antisense RNA 1	1.828	4.993	-2.038	6.78
5028	P2RY1	purinergic receptor P2Y1	-1.33	2.896	2.23	8.261
80117	ARL14	ADP ribosylation factor like GTPase 14	-1.415	3.775	2.006	7.953
101928405	LINC02023	long intergenic non-protein coding RNA 2023	-2.353	2.184	2.967	3.609
200916	RPL22L1	ribosomal protein L22 like 1	1.742	6.089	-1.78	7.011
56648	EIF5A2	eukaryotic translation initiation factor 5A2	1.316	6.332	-1.386	7.704
1894	ECT2	epithelial cell transforming 2	1.529	6.558	-1.783	9.658
344887	NMRAL2P	NmrA like redox sensor 2, pseudogene	-1.398	2.361	2.094	5.33
6750	SST	somatostatin	-2.67	2.368	3.532	4.299
105374264	LOC105374264	uncharacterized LOC105374264	2.921	7.33	-3.221	9.747
107986170	LOC107986170	replaced by ID 10686	4.358	8.786	-5.302	14.393
10686	CLDN16	claudin 16	2.92	5.617	-4.003	11.453
80235	PIGZ	phosphatidylinositol glycan anchor biosynthesis class Z	-1.171	3.215	1.731	7.311
105374339	LOC105374339	uncharacterized LOC105374339	1.294	2.404	-2.205	7.053
53834	FGFRL1	fibroblast growth factor receptor like 1	1.127	3.529	-1.941	10.744
10417	SPON2	spondin 2	1.632	5.394	-1.247	3.662
57732	ZFYVE28	zinc finger FYVE-type containing 28	-1.021	4.139	1.579	10.279
55646	LYAR	Ly1 antibody reactive	1.04	4.036	-1.493	8.756
6286	S100P	S100 calcium binding protein P	1.616	2.092	-1.667	2.434
105374367	LOC105374367	uncharacterized LOC105374367	2.276	3.848	-1.868	2.983
105374476	SLC2A9-AS1	SLC2A9 antisense RNA 1	-1.323	3.424	1.762	6.201
107986178	LOC107986178	uncharacterized LOC107986178	-1.429	3.397	1.999	6.516
114905	C1QTNF7	C1q and TNF related 7	-1.613	3.125	2.35	6.849
64151	NCAPG	non-SMC condensin I complex subunit G	1.023	2.951	-1.111	3.804
80333	KCNIP4	potassium voltage-gated channel interacting protein 4	-1.022	2.218	1.613	5.446
105374528	LOC105374528	uncharacterized LOC105374528	-2.1	2.272	2.96	4.497
57495	NWD2	NACHT and WD repeat domain containing 2	-2.012	4.302	2.007	4.72
768211	RELL1	RELT like 1	-1.009	5.27	1.506	12.409
81793	TLR10	toll like receptor 10	-1.46	3.129	1.596	4.067
7358	UGDH	UDP-glucose 6-dehydrogenase	-1.083	4.119	1.094	4.661
389206	BEND4	BEN domain containing 4	-1.734	4.641	2.125	7.201
10699	CORIN	corin, serine peptidase	2.754	7.502	-1.961	4.359
80157	CWH43	cell wall biogenesis 43 C-terminal homolog	-2.103	2.212	3.529	6.2
3815	KIT	KIT proto-oncogene, receptor tyrosine kinase	-1.097	2.632	1.74	6.714
10874	NMU	neuromedin U	2.277	5.947	-1.497	3.046
5471	PPAT	phosphoribosyl pyrophosphate amidotransferase	1.283	6.018	-1.522	9.159
10606	PAICS	phosphoribosylaminoimidazole carboxylase and phosphoribosylaminoimidazolesuccinocarboxamide synthase	1.085	5.129	-1.416	9.354
6691	SPINK2	serine peptidase inhibitor Kazal type 2	-2.272	2.756	3.857	7.662
3490	IGFBP7	insulin like growth factor binding protein 7	1.161	3.829	-1.259	4.936
255130	IGFBP7-AS1	IGFBP7 antisense RNA 1	1.157	3.134	-1.262	4.074
26228	STAP1	signal transducing adaptor family member 1	-1.797	5.912	1.996	7.826
79799	UGT2A3	UDP glucuronosyltransferase family 2 member A3	-1.52	2.054	1.897	3.349
27284	SULT1B1	sulfotransferase family 1B member 1	-1.39	2.25	2.373	6.53
54959	ODAM	odontogenic, ameloblast associated	3.289	6.036	-2.845	5.092
8671	SLC4A4	solute carrier family 4 member 4	-2.038	2.73	2.817	5.437
3576	CXCL8	C-X-C motif chemokine ligand 8	3.363	9.471	-4.294	17.026
2919	CXCL1	C-X-C motif chemokine ligand 1	2.294	5.115	-1.38	2.278
2921	CXCL3	C-X-C motif chemokine ligand 3	2.101	4.971	-1.584	3.307
2920	CXCL2	C-X-C motif chemokine ligand 2	2.14	5.02	-3.176	11.698
2069	EREG	epiregulin	2.204	5.068	-2.779	8.641
374	AREG	amphiregulin	1.812	3.686	-2.309	6.392
25849	PARM1	prostate androgen-regulated mucin-like protein 1	-1.162	2.502	2.177	8.685
27163	NAAA	N-acylethanolamine acid amidase	-1.41	5.398	1.899	10.423
6373	CXCL11	C-X-C motif chemokine ligand 11	2.276	3.461	-3.597	8.962
105377290	LOC105377290	uncharacterized LOC105377290	-1.345	3.45	2.138	8.043
306	ANXA3	annexin A3	1.324	5.48	-1.393	6.682
5593	PRKG2	protein kinase cGMP-dependent 2	-2.213	3.68	2.573	5.371
84803	GPAT3	glycerol-3-phosphate acyltransferase 3	-1.505	3.157	1.787	4.787
3381	IBSP	integrin binding sialoprotein	5.502	7.663	-7.32	14.852
9429	ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)	-2.682	7.26	1.819	3.936
27306	HPGDS	hematopoietic prostaglandin D synthase	-1.347	2.658	1.769	4.767
8633	UNC5C	unc-5 netrin receptor C	-1.698	6.097	1.883	8.158
105377335	UNC5C-AS1	UNC5C antisense RNA 1	-1.09	2.993	1.61	6.126
55024	BANK1	B cell scaffold protein with ankyrin repeats 1	-1.262	2.59	1.891	5.913
51176	LEF1	lymphoid enhancer binding factor 1	1.807	3.916	-1.537	3.256
641518	LEF1-AS1	LEF1 antisense RNA 1	1.953	4.486	-1.762	4.117
4085	MAD2L1	mitotic arrest deficient 2 like 1	1.38	4.642	-1.547	6.365
890	CCNA2	cyclin A2	1.027	3.002	-1.173	4.248
23657	SLC7A11	solute carrier family 7 member 11	1.845	4.732	-1.816	5.111
1909	EDNRA	endothelin receptor type A	2.015	7.144	-1.209	3.103
4306	NR3C2	nuclear receptor subfamily 3 group C member 2	-1.363	2.58	2.532	8.836
105377483	LOC105377483	uncharacterized LOC105377483	-2.899	2.268	2.586	2.051
201798	TIGD4	tigger transposable element derived 4	1.261	3.406	-1.604	5.914
84057	MND1	meiotic nuclear divisions 1	1.304	4.363	-1.469	6.033
50859	SPOCK3	SPARC (osteonectin), cwcv and kazal like domains proteoglycan 3	-1.573	2.035	2.197	3.924
55601	DDX60	DExD/H-box helicase 60	-1.032	3.86	1.539	8.969
3248	HPGD	15-hydroxyprostaglandin dehydrogenase	-1.843	3.866	2.159	5.752
105377548	LOC105377548	uncharacterized LOC105377548	-1.226	2.661	1.813	5.927
55247	NEIL3	nei like DNA glycosylase 3	1.173	3.489	-1.087	3.379
56977	STOX2	storkhead box 2	-1.074	2.218	1.416	3.986
133121	ENPP6	ectonucleotide pyrophosphatase/phosphodiesterase 6	-1.943	2.951	3.11	7.484
7098	TLR3	toll like receptor 3	-1.119	3	1.934	9.057
105374608	LOC105374608	uncharacterized LOC105374608	3.121	7.013	-3.458	9.388
55722	CEP72	centrosomal protein 72	1.183	5.483	-1.543	9.978
9319	TRIP13	thyroid hormone receptor interactor 13	1.939	7.483	-2.113	9.73
85409	NKD2	NKD inhibitor of WNT signaling pathway 2	2.385	5.228	-2.906	8.382
134147	CMBL	carboxymethylenebutenolidase homolog	-1.117	2.609	1.306	3.816
651746	ANKRD33B	ankyrin repeat domain 33B	-1.163	5.191	1.209	6.164
1501	CTNND2	catenin delta 2	-1.507	2.497	1.5	2.726
1767	DNAH5	dynein axonemal heavy chain 5	2.328	4.72	-2.931	8.068
106635539	SNORA105A	small nucleolar RNA, H/ACA box 105A	1.031	3.732	-1.482	8.147
1004	CDH6	cadherin 6	1.339	4.988	-1.657	8.218
81792	ADAMTS12	ADAM metallopeptidase with thrombospondin type 1 motif 12	3.303	17.143	-2.956	14.861
55299	BRIX1	biogenesis of ribosomes BRX1	1.063	6.092	-1.288	9.652
5734	PTGER4	prostaglandin E receptor 4	-1.051	5.116	1.511	11.184
375444	C5orf34	chromosome 5 open reading frame 34	1.125	4.16	-1.124	4.599
3673	ITGA2	integrin subunit alpha 2	1.439	5.652	-1.521	6.937
11082	ESM1	endothelial cell specific molecule 1	4.238	11.406	-4.122	11.92
345643	MCIDAS	multiciliate differentiation and DNA synthesis associated cell cycle protein	3.346	5.96	-3.735	8.1
10309	CCNO	cyclin O	2.042	4.171	-2.334	5.929
166968	MIER3	MIER family member 3	-1.29	6.45	1.425	8.576
11174	ADAMTS6	ADAM metallopeptidase with thrombospondin type 1 motif 6	1.983	9.761	-1.159	3.907
891	CCNB1	cyclin B1	1.162	3.441	-1.352	5.041
134285	TMEM171	transmembrane protein 171	-1.525	3.165	2.643	9.667
8507	ENC1	ectodermal-neural cortex 1	1.231	6.45	-1.619	11.986
51301	GCNT4	glucosaminyl (N-acetyl) transferase 4	-1.32	2.166	2.306	6.472
2149	F2R	coagulation factor II thrombin receptor	1.189	5.75	-1.356	8.127
9456	HOMER1	homer scaffold protein 1	1.958	8.181	-2.074	10.108
1160	CKMT2	creatine kinase, mitochondrial 2	2.724	5.529	-2.992	7.289
1462	VCAN	versican	1.364	5.587	-1.421	6.679
10085	EDIL3	EGF like repeats and discoidin domains 3	-1.153	2.619	2.2	9.431
100505994	LUCAT1	lung cancer associated transcript 1	3.356	6.177	-3.584	7.732
107986389	NIHCOLE	ncRNA involved in NHEJ oncogenic ligation efficiency	5.209	9.283	-5.452	11.216
101927233	SEMA6A-AS1	SEMA6A antisense RNA 1	-1.004	2.487	1.954	9.133
65983	GRAMD2B	GRAM domain containing 2B	-1.059	5.774	1.377	10.412
84466	MEGF10	multiple EGF like domains 10	-1.028	2.265	2.005	7.817
28965	SLC27A6	solute carrier family 27 member 6	-2.198	2.919	3.558	7.317
337876	CHSY3	chondroitin sulfate synthase 3	1.629	7.702	-1.295	5.536
23305	ACSL6	acyl-CoA synthetase long chain family member 6	3.426	7.162	-4.558	13.711
553103	MIR3936HG	MIR3936 host gene	-1.036	5.084	1.333	8.888
6584	SLC22A5	solute carrier family 22 member 5	-1.31	5.909	1.619	9.69
6932	TCF7	transcription factor 7	1.148	3.807	-1.594	7.748
105379189	LOC105379189	uncharacterized LOC105379189	2.206	8.69	-2.928	16.849
7045	TGFBI	transforming growth factor beta induced	2.078	8.581	-2.647	15.265
10112	KIF20A	kinesin family member 20A	1.427	5.734	-1.518	7.121
51237	MZB1	marginal zone B and B1 cell specific protein	-1.246	2.14	2.187	6.495
56127	PCDHB9	protocadherin beta 9	2.077	3.981	-1.934	3.888
56122	PCDHB14	protocadherin beta 14	1.141	3.138	-1.155	3.567
5521	PPP2R2B	protein phosphatase 2 regulatory subunit Bbeta	-1.429	3.653	1.411	3.952
389336	C5orf46	chromosome 5 open reading frame 46	5.468	8.171	-7.414	16.64
79628	SH3TC2	SH3 domain and tetratricopeptide repeats 2	2.4	7.012	-2.822	10.493
5145	PDE6A	phosphodiesterase 6A	-2.291	3.058	2.834	4.979
1836	SLC26A2	solute carrier family 26 member 2	-2.39	4.583	3.966	13.245
206358	SLC36A1	solute carrier family 36 member 1	-1.461	6.437	1.604	8.458
6678	SPARC	secreted protein acidic and cysteine rich	1.995	7.812	-1.572	5.568
101927096	CLMAT3	colorectal liver metastasis associated transcript 3	2.055	8.275	-1.659	6.156
2172	FABP6	fatty acid binding protein 6	3.082	3.614	-3.851	6.045
79616	CCNJL	cyclin J like	-1.006	2.175	1.825	7.018
3161	HMMR	hyaluronan mediated motility receptor	1.151	3.123	-1.19	3.684
101927813	HMMR-AS1	HMMR antisense RNA 1	1.239	3.398	-1.221	3.68
54908	SPDL1	spindle apparatus coiled-coil protein 1	1.007	6.316	-1.066	7.763
2568	GABRP	gamma-aminobutyric acid type A receptor subunit pi	1.782	2.857	-2.336	5.189
8817	FGF18	fibroblast growth factor 18	2.023	4.165	-1.849	3.916
285590	SH3PXD2B	SH3 and PX domains 2B	1.166	6.303	-1.129	6.556
8614	STC2	stanniocalcin 2	3.325	10.577	-3.728	14.676
107986483	LOC107986483		5.869	6.405	-6.132	7.683
4488	MSX2	msh homeobox 2	3.383	6.246	-3.913	9.074
54825	CDHR2	cadherin related family member 2	-1.153	2.217	1.169	2.505
80758	PRR7	proline rich 7, synaptic	1.887	8.841	-2.427	16.125
9509	ADAMTS2	ADAM metallopeptidase with thrombospondin type 1 motif 2	2.56	12.666	-2.854	17.324
102723922	LOC102723922		-1.264	3.611	1.21	3.673
3662	IRF4	interferon regulatory factor 4	-1.7	3.423	2.51	7.767
105374879	LOC105374879	uncharacterized LOC105374879	2.454	4.176	-3.099	7.185
107986554	LOC107986554		4.387	11.295	-5.362	18.684
94234	FOXQ1	forkhead box Q1	4.556	12.562	-5.54	20.465
63027	SLC22A23	solute carrier family 22 member 23	-1.075	4.182	1.576	9.443
643327	LOC643327	uncharacterized LOC643327	-1.041	4.015	1.382	7.421
10799	RPP40	ribonuclease P/MRP subunit p40	1.284	7.304	-1.396	9.431
100129461	LYRM4-AS1	LYRM4 antisense RNA 1	1.159	7.561	-1.103	7.583
7020	TFAP2A	transcription factor AP-2 alpha	2.24	4.746	-1.819	3.606
109729173	TFAP2A-AS2	TFAP2A antisense RNA 2	2.446	7.521	-2.074	6.057
2651	GCNT2	glucosaminyl (N-acetyl) transferase 2 (I blood group)	-1.964	4.33	1.671	3.595
105374947	LOC105374947	uncharacterized LOC105374947	1.109	2.013	-1.578	4.194
6659	SOX4	SRY-box transcription factor 4	1.292	5.875	-1.288	6.465
401237	CASC15	cancer susceptibility 15	1.721	3.524	-1.694	3.806
51567	TDP2	tyrosyl-DNA phosphodiesterase 2	-1.23	4.055	1.486	6.377
10050	SLC17A4	solute carrier family 17 member 4	-2.235	4.711	2.228	5.209
3006	H1-2	H1.2 linker histone, cluster member	-1.1	3.846	1.164	4.741
10537	UBD	ubiquitin D	1.932	3.762	-3.412	12.094
105379695	IER3-AS1	IER3 antisense RNA 1	1.373	4.116	-1.516	5.483
8870	IER3	immediate early response 3	1.334	3.853	-1.474	5.146
534	ATP6V1G2	ATPase H+ transporting V1 subunit G2	-1.467	3.139	2.303	7.532
110599563	LY6G6F-LY6G6D	LY6G6F-LY6G6D readthrough	3.55	5.018	-4.419	8.36
259215	LY6G6F	lymphocyte antigen 6 family member G6F	3.174	5.102	-4.018	8.838
79136	LY6G6E	lymphocyte antigen 6 family member G6E (pseudogene)	2.99	4.152	-4.179	8.63
58530	LY6G6D	lymphocyte antigen 6 family member G6D	3.498	4.625	-4.367	7.753
26797	SNORD52	small nucleolar RNA, C/D box 52	1.143	4.183	-1.306	5.937
221527	ZBTB12	zinc finger and BTB domain containing 12	1.323	6.614	-1.414	8.272
4855	NOTCH4	notch receptor 4	1.11	4.139	-1.097	4.499
3833	KIFC1	kinesin family member C1	1.145	3.452	-1.29	4.766
3159	HMGA1	high mobility group AT-hook 1	1.309	5.41	-1.485	7.585
102465502	MIR6835	microRNA 6835	1.528	3.275	-1.971	5.878
222663	SCUBE3	signal peptide, CUB domain and EGF like domain containing 3	1.657	2.21	-1.684	2.509
57699	CPNE5	copine 5	-1.28	5.326	2.096	15.013
51645	PPIL1	peptidylprolyl isomerase like 1	1.047	8.529	-1.165	11.599
222643	UNC5CL	unc-5 family C-terminal like	1.88	6.084	-2.396	10.603
54210	TREM1	triggering receptor expressed on myeloid cells 1	3.295	8.986	-4.123	15.485
101060264	FOXP4-AS1	FOXP4 antisense RNA 1	1.575	4.934	-1.648	5.938
4188	MDFI	MyoD family inhibitor	2.729	8.673	-2.755	9.777
705	BYSL	bystin like	1.283	9.364	-1.502	14.132
105375061	LOC105375061	uncharacterized LOC105375061	-1.169	5.106	1.593	9.159
5754	PTK7	protein tyrosine kinase 7 (inactive)	1.396	3.546	-1.818	6.403
57510	XPO5	exportin 5	1.129	7.137	-1.438	12.518
101929705	SCIRT	stem cell inhibitory RNA transcript	3.437	7.411	-4.504	13.838
221416	LINC03040	long intergenic non-protein coding RNA 3040	3.522	6.85	-4.452	11.801
2030	SLC29A1	solute carrier family 29 member 1 (Augustine blood group)	1.122	2.567	-1.563	5.157
3326	HSP90AB1	heat shock protein 90 alpha family class B member 1	1.258	6.788	-1.48	10.141
53405	CLIC5	chloride intracellular channel 5	-1.184	2.825	1.889	7.351
10231	RCAN2	regulator of calcineurin 2	-1.16	2.683	2.019	8.147
221395	ADGRF5	adhesion G protein-coupled receptor F5	1.074	3.843	-1.004	3.783
60481	ELOVL5	ELOVL fatty acid elongase 5	1.22	4.371	-1.704	9.037
401265	KLHL31	kelch like family member 31	1.563	5.972	-1.824	8.823
54511	HMGCLL1	3-hydroxymethyl-3-methylglutaryl-CoA lyase like 1	-1.509	2.913	1.31	2.522
653	BMP5	bone morphogenetic protein 5	-1.788	2.891	2.62	6.401
577	ADGRB3	adhesion G protein-coupled receptor B3	-1.663	3.396	2.022	5.319
1310	COL19A1	collagen type XIX alpha 1 chain	-1.855	3.168	3.364	10.05
101928353	LINC01610	long intergenic non-protein coding RNA 1610	2.528	3.012	-3.194	5.118
56479	KCNQ5	potassium voltage-gated channel subfamily Q member 5	-1.554	3.237	2.033	5.648
112267857	LOC112267857	replaced by ID 83699	-1.171	3.222	1.897	8.526
7272	TTK	TTK protein kinase	1.212	3.205	-1.284	3.957
167681	PRSS35	serine protease 35	1.472	2.886	-2.722	10.075
101928820	LINC02535	long intergenic non-protein coding RNA 2535	-1.244	2.15	1.466	3.165
285758	MROCKI	MARCKS cis regulating lncRNA promoter of cytokines and inflammation	-1.255	3.752	1.36	4.791
1300	COL10A1	collagen type X alpha 1 chain	6.052	19.471	-6.128	21.588
5570	PKIB	cAMP-dependent protein kinase inhibitor beta	-1.805	3.078	3.071	9.063
10924	SMPDL3A	sphingomyelin phosphodiesterase acid like 3A	-1.694	4.939	1.947	7.097
7164	TPD52L1	TPD52 like 1	1.188	3.727	-1.305	4.918
387103	CENPW	centromere protein W	1.283	3.93	-1.324	4.63
100507308	TARID	TCF21 antisense RNA inducing promoter demethylation	-1.9	3.706	2.86	7.814
113115	MTFR2	mitochondrial fission regulator 2	1.336	4.338	-1.372	5.058
340146	SLC35D3	solute carrier family 35 member D3	3.903	6.177	-4.631	9.402
10370	CITED2	Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 2	-1.041	4.329	1.483	9.267
80328	ULBP2	UL16 binding protein 2	2.935	6.504	-3.152	8.218
154064	RAET1L	retinoic acid early transcript 1L	3.912	5.749	-5.212	10.969
79465	ULBP3	UL16 binding protein 3	1.523	6.451	-1.703	8.782
25902	MTHFD1L	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1 like	2.056	11.954	-2.25	15.739
84624	FNDC1	fibronectin type III domain containing 1	1.783	2.709	-1.76	2.934
10846	PDE10A	phosphodiesterase 10A	1.306	3.805	-1.248	3.891
54346	UNC93A	unc-93 homolog A	2.804	4.672	-3.678	8.593
441178	LINC02487	long intergenic non-protein coding RNA 2487	1.207	2.397	-1.526	4.029
441179	LOC441179	uncharacterized LOC441179	1.05	2.333	-1.25	3.514
79981	FRMD1	FERM domain containing 1	-1.402	2.54	1.894	4.82
7058	THBS2	thrombospondin 2	2.826	7.881	-3.441	12.787
54905	CYP2W1	cytochrome P450 family 2 subfamily W member 1	2.187	2.831	-2.767	4.804
2852	GPER1	G protein-coupled estrogen receptor 1	-1.335	2.327	1.508	3.183
101927125	ELFN1-AS1	ELFN1 antisense RNA 1	3.417	7.142	-3.26	7.22
105375127	LOC105375127	uncharacterized LOC105375127	2.173	5.727	-2.057	5.69
8662	EIF3B	eukaryotic translation initiation factor 3 subunit B	1.056	6.899	-1.142	8.808
80727	TTYH3	tweety family member 3	1.364	7.088	-1.581	10.32
100129484	LINC02983	long intergenic non-protein coding RNA 2983	1.098	3.35	-1.252	4.729
6624	FSCN1	fascin actin-bundling protein 1	1.618	4.961	-1.11	2.79
107986762	LOC107986762		1.43	3.649	-1.014	2.184
100505938	ICA1-AS1	ICA1 antisense RNA 1	1.547	3.494	-1.244	2.608
85477	SCIN	scinderin	-1.586	3.684	2.231	7.664
9734	HDAC9	histone deacetylase 9	-1.004	2.355	1.577	5.838
101927668	LOC101927668	uncharacterized LOC101927668	1.983	6.896	-2.11	8.534
346389	MACC1	MET transcriptional regulator MACC1	2.182	7.8	-2.342	9.871
3696	ITGB8	integrin subunit beta 8	1.207	3.977	-1.037	3.364
102724143	LOC102724143		-1.014	2.659	1.068	3.201
541472	IL6-AS1	IL6 antisense RNA 1	3.146	5.989	-1.886	2.566
3569	IL6	interleukin 6	3.07	6.162	-1.891	2.815
10643	IGF2BP3	insulin like growth factor 2 mRNA binding protein 3	4.244	7.302	-4.055	7.418
56164	STK31	serine/threonine kinase 31	3.205	9.32	-2.74	7.656
51678	PALS2	protein associated with LIN7 2, MAGUK p55 family member	1.323	4.354	-1.718	7.847
646588	LINC03007	long intergenic non-protein coding RNA 3007	-1.398	3.305	2.362	8.72
9603	NFE2L3	NFE2 like bZIP transcription factor 3	2.267	10.434	-2.454	13.495
11335	CBX3	chromobox 3	1.125	7.637	-1.274	10.698
9805	SCRN1	secernin 1	1.062	2.019	-1.024	2.085
105375216	LOC105375216	uncharacterized LOC105375216	1.185	2.917	-1.451	4.695
79017	GGCT	gamma-glutamylcyclotransferase	1.179	6.102	-1.263	7.685
2617	GARS1	glycyl-tRNA synthetase 1	1.056	7.411	-1.171	9.959
84182	MINDY4	MINDY lysine 48 deubiquitinase 4	1.099	7.471	-1.047	7.532
57057	TBX20	T-box transcription factor 20	3.208	7.02	-4.19	12.968
23366	MATCAP2	microtubule associated tyrosine carboxypeptidase 2	1.796	12.047	-1.887	14.613
54443	ANLN	anillin, actin binding protein	2.253	10.179	-2.414	12.905
54749	EPDR1	ependymin related 1	1.095	3.68	-1.349	5.992
445347	TARP	TCR gamma alternate reading frame protein	-1.516	4.13	1.585	4.941
6967	TRGC2	T cell receptor gamma constant 2	-1.598	3.793	1.485	3.683
6966	TRGC1	T cell receptor gamma constant 1	-1.579	5.062	1.509	5.119
100506776	TRG-AS1	T cell receptor gamma locus antisense RNA 1	-1.421	4.496	1.061	2.97
6977	TRGV4	T cell receptor gamma variable 4	-1.424	2.54	1.618	3.451
6976	TRGV3	T cell receptor gamma variable 3	-1.459	2.87	1.213	2.306
6974	TRGV2	T cell receptor gamma variable 2	-1.481	3.074	1.199	2.368
11281	POU6F2	POU class 6 homeobox 2	2.742	2.369	-3.876	4.874
57002	YAE1	YAE1 maturation factor of ABCE1	1.218	4.682	-1.131	4.547
3624	INHBA	inhibin subunit beta A	4.918	22.009	-5.025	25.039
285958	SNHG15	small nucleolar RNA host gene 15	1.323	6.16	-1.694	10.837
677798	SNORA9	small nucleolar RNA, H/ACA box 9	1.601	4.366	-2.183	8.732
84847	LINC00525	long intergenic non-protein coding RNA 525	1.895	2.815	-2.501	5.196
63979	FIGNL1	fidgetin like 1	1.111	5.427	-1.12	6.109
5723	PSPH	phosphoserine phosphatase	1.224	7.748	-1.119	7.258
908	CCT6A	chaperonin containing TCP1 subunit 6A	1.095	8.302	-1.27	12.252
2086	ERV3-1	endogenous retrovirus group 3 member 1, envelope	1.038	2.558	-1.111	3.191
105375350	LOC105375350	uncharacterized LOC105375350	1.257	3.914	-1.455	5.693
107986742	LOC107986742	uncharacterized LOC107986742	-1.049	2.354	1.11	2.822
9569	GTF2IRD1	GTF2I repeat domain containing 1	1.717	8.562	-1.836	10.779
136853	SSC4D	scavenger receptor cysteine rich family member with 4 domains	1.292	5.35	-1.391	6.787
7784	ZP3	zona pellucida glycoprotein 3	1.112	2.597	-1.039	2.542
10875	FGL2	fibrinogen like 2	-1.222	3.492	1.141	3.435
3082	HGF	hepatocyte growth factor	1.125	2.465	-1.809	6.451
154661	RUNDC3B	RUN domain containing 3B	-1.424	3.586	1.087	2.47
112267986	LOC112267986	uncharacterized LOC112267986	2.152	4.998	-1.749	3.744
7980	TFPI2	tissue factor pathway inhibitor 2	2.077	5.118	-1.674	3.828
1278	COL1A2	collagen type I alpha 2 chain	2.125	8.381	-1.213	3.325
168620	BHLHA15	basic helix-loop-helix family member a15	-1.137	2.506	1.349	3.735
2050	EPHB4	EPH receptor B4	1.005	7.349	-1.092	9.483
105375430	SLC12A9-AS1	SLC12A9 antisense RNA 1	1.265	3.955	-1.538	6.329
101927746	EMSLR	E2F1 mRNA stabilizing lncRNA	2.779	8.081	-2.981	10.221
105375434	LOC105375434	uncharacterized LOC105375434	2.161	5.613	-2.431	7.746
54517	PUS7	pseudouridine synthase 7	1.473	7.79	-1.577	9.817
79872	CBLL1	Cbl proto-oncogene like 1	-1.061	7.993	1.324	13.6
54674	LRRN3	leucine rich repeat neuronal 3	-1.308	3.438	1.214	3.337
4233	MET	MET proto-oncogene, receptor tyrosine kinase	1.349	8.693	-1.695	15.067
7472	WNT2	Wnt family member 2	4.993	13.325	-3.651	7.993
2918	GRM8	glutamate metabotropic receptor 8	1.891	2.553	-2.11	3.433
101928357	LOC101928357	uncharacterized LOC101928357	1.951	2.54	-2.173	3.405
107986845	LOC107986845	uncharacterized LOC107986845	1	2.037	-1.196	3.08
3614	IMPDH1	inosine monophosphate dehydrogenase 1	1.148	5.244	-1.257	6.897
102724660	HILPDA-AS1	HILPDA antisense RNA 1	1.557	5.006	-1.984	8.735
29923	HILPDA	hypoxia inducible lipid droplet associated	2.114	9.968	-2.295	12.971
100130705	ATP6V1FNB	ATP6V1F neighbor	1.422	4.231	-1.481	5.054
375616	KCP	kielin cysteine rich BMP regulator	1.318	4.174	-1.059	3.114
57464	STRIP2	striatin interacting protein 2	2.488	9.866	-2.166	8.369
100287482	SMKR1	small lysine rich protein 1	2.556	6.457	-2.571	7.2
57016	AKR1B10	aldo-keto reductase family 1 member B10	-1.963	2.567	2.031	3.013
441282	AKR1B15	aldo-keto reductase family 1 member B15	-2.072	2.68	3.403	7.134
57670	KIAA1549	KIAA1549	1.852	10.852	-1.909	12.724
92092	ZC3HAV1L	zinc finger CCCH-type containing, antiviral 1 like	1.371	8.107	-1.413	9.501
107986852	LOC107986852	uncharacterized LOC107986852	1.716	6.972	-1.754	7.991
79989	TTC26	tetratricopeptide repeat domain 26	1.344	7.411	-1.488	9.925
23601	CLEC5A	C-type lectin domain containing 5A	4.133	13.278	-5.108	22.499
28577	TRBV12-3	T cell receptor beta variable 12-3	-1.053	2.381	1.006	2.408
28568	TRBV19	T cell receptor beta variable 19	-1.509	3.184	1.145	2.192
28631	TRBJ1-5	T cell receptor beta joining 1-5	-1.163	2.356	1.214	2.761
28626	TRBJ2-3	T cell receptor beta joining 2-3	-1.224	3.184	1.203	3.408
285972	LINC00996	long intergenic non-protein coding RNA 996	-1.341	3.448	1.924	7.29
4846	NOS3	nitric oxide synthase 3	1.322	4.681	-1.089	3.66
285973	ATG9B	autophagy related 9B	2.216	9.268	-2.652	14.621
7516	XRCC2	X-ray repair cross complementing 2	1.903	7.353	-2.002	8.942
105375591	INSIG1-DT	INSIG1 divergent transcript	1.098	2.348	-1.165	2.872
6469	SHH	sonic hedgehog signaling molecule	1.545	5.588	-1.935	9.412
389602	LOC389602	uncharacterized LOC389602	1.694	3.067	-1.524	2.821
645249	MNX1-AS1	MNX1 antisense RNA 1 (head to head)	1.298	2.809	-1.19	2.661
54892	NCAPG2	non-SMC condensin II complex subunit G2	1.188	5.092	-1.256	6.253
101928058	KBTBD11-AS1	KBTBD11 antisense RNA 1	-1.31	3.337	1.869	6.897
